2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@5a5d057a, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@22d44b44, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@51593b74, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@6c492e77, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@5e0d9051, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@5e836ebf, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@46196c80, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@6386d8a2, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@51bb439b, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@14883985, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@19f82af8, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@4ceea2ad, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@47429730, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@1253ca4c, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@4a248d14, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@73e6a537, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@204e576c, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@2cc3e883, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@42618c22, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@4684644, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
2017-08-30 23:51:20 ERROR cn.spacewalker.tsp.bg.tbox.client.TBoxEncoder.encode(TBoxEncoder.java:22) - channelHandlerContext is ChannelHandlerContext(TBoxEncoder#0, [id: 0x54e6f218, /127.0.0.1:60077 => /127.0.0.1:9103]), gbt32960Msg is cn.spacewalker.tsp.bg.pojo.dto.Gbt32960Msg@564f8492, byteBuf is PooledUnsafeDirectByteBuf(ridx: 0, widx: 0, cap: 256)
